Jurisdiction,"Total Allocated Dosesas of Aug 19 2022, 12pm","Total Requested Dosesas of Aug 19 2022, 12pm","Total Shipped Dosesas of Aug 19 2022, 12pm",Last Updated
All Jurisdictions,1082486,1070913,1061913,2022-08-24 12:14
Alabama,5943,13383,13383,2022-08-24 12:14
Alaska,640,640,640,2022-08-24 12:14
American Samoa,20,20,20,2022-08-24 12:14
Arizona,14453,14533,14533,2022-08-24 12:14
Arkansas,3160,1760,1760,2022-08-24 12:14
California,109809,109909,109909,2022-08-24 12:14
California - Los Angeles,72142,72122,72122,2022-08-24 12:14
Colorado,18885,18885,18885,2022-08-24 12:14
Connecticut,6328,6328,6328,2022-08-24 12:14
Delaware,1895,1895,1895,2022-08-24 12:14
District of Columbia,33775,33855,33855,2022-08-24 12:14
Federated States of Micronesia,0,0,0,2022-08-24 12:14
Florida,109760,109760,109760,2022-08-24 12:14
Georgia,48042,48042,48042,2022-08-24 12:14
Guam,160,60,60,2022-08-24 12:14
Hawaii,4472,4472,4472,2022-08-24 12:14
Idaho,1900,1900,1900,2022-08-24 12:14
Illinois,20618,20618,20618,2022-08-24 12:14
Illinois - Chicago,54029,54109,54109,2022-08-24 12:14
Indiana,12052,12052,12052,2022-08-24 12:14
Iowa,2641,2641,2641,2022-08-24 12:14
Kansas,2276,2276,2276,2022-08-24 12:14
Kentucky,6380,3580,3580,2022-08-24 12:14
Louisiana,9362,9362,9362,2022-08-24 12:14
Maine,1451,1451,1451,2022-08-24 12:14
Mariana Islands,40,40,40,2022-08-24 12:14
Marshall Islands,0,0,0,2022-08-24 12:14
Maryland,21979,21979,21979,2022-08-24 12:14
Massachusetts,26551,26551,26551,2022-08-24 12:14
Michigan,13918,12918,12918,2022-08-24 12:14
Minnesota,10638,8138,8038,2022-08-24 12:14
Mississippi,2941,2941,2941,2022-08-24 12:14
Missouri,9413,9413,9413,2022-08-24 12:14
Montana,798,798,798,2022-08-24 12:14
Nebraska,1721,1721,1721,2022-08-24 12:14
Nevada,7322,7322,7322,2022-08-24 12:14
New Hampshire,1487,1187,1187,2022-08-24 12:14
New Jersey,20029,20029,20029,2022-08-24 12:14
New Mexico,3596,3596,1996,2022-08-24 12:14
New York,46095,28295,28295,2022-08-24 12:14
New York - New York City,125904,125904,125904,2022-08-24 12:14
North Carolina,18448,18448,18448,2022-08-24 12:14
North Dakota,575,575,575,2022-08-24 12:14
Ohio,17893,17893,17893,2022-08-24 12:14
Oklahoma,5636,15236,15236,2022-08-24 12:14
Oregon,11938,11938,11938,2022-08-24 12:14
Palau,0,0,0,2022-08-24 12:14
Pennsylvania,17911,17611,10311,2022-08-24 12:14
Pennsylvania - Philadelphia,8390,8390,8390,2022-08-24 12:14
Puerto Rico,5107,2807,2807,2022-08-24 12:14
Rhode Island,3274,3274,3274,2022-08-24 12:14
South Carolina,6847,6847,6847,2022-08-24 12:14
South Dakota,511,291,291,2022-08-24 12:14
Tennessee,10762,10762,10762,2022-08-24 12:14
Texas,57394,57394,57394,2022-08-24 12:14
Texas - Houston,22226,22226,22226,2022-08-24 12:14
Tribal Entities,93,0,0,2022-08-24 12:14
U.S. Virgin Islands,260,260,260,2022-08-24 12:14
Utah,6449,6449,6449,2022-08-24 12:14
Vermont,426,426,426,2022-08-24 12:14
Virginia,22859,22859,22859,2022-08-24 12:14
Washington,24530,25310,25310,2022-08-24 12:14
West Virginia,1957,1057,1057,2022-08-24 12:14
Wisconsin,6014,6014,6014,2022-08-24 12:14
Wyoming,361,361,361,2022-08-24 12:14
