Jurisdiction,"Total Allocated Vialsas of Sep 14 2022, 12pm","Total Requested as of Sep 14 2022, 12pm","Total Shipped as of Sep 14 2022, 12pm",Last Updated
All Jurisdictions,1090190,813313,807093,2022-09-17 12:14
Alabama,6163,3703,3703,2022-09-17 12:14
Alaska,660,500,500,2022-09-17 12:14
American Samoa,40,40,40,2022-09-17 12:14
Arizona,16433,11633,11633,2022-09-17 12:14
Arkansas,3280,2460,2460,2022-09-17 12:14
California,112309,99909,99909,2022-09-17 12:14
California - Los Angeles,73802,65522,65522,2022-09-17 12:14
Colorado,18145,12805,12805,2022-09-17 12:14
Connecticut,6328,4888,4888,2022-09-17 12:14
Delaware,1895,1175,1175,2022-09-17 12:14
District of Columbia,28995,25795,25795,2022-09-17 12:14
Federated States of Micronesia,0,0,0,2022-09-17 12:14
Florida,112680,74720,74720,2022-09-17 12:14
Georgia,53542,31642,31642,2022-09-17 12:14
Guam,120,80,60,2022-09-17 12:14
Hawaii,3852,3192,3192,2022-09-17 12:14
Idaho,2000,1360,1360,2022-09-17 12:14
Illinois,19198,14298,14298,2022-09-17 12:14
Illinois - Chicago,50469,40109,40109,2022-09-17 12:14
Indiana,11872,7812,7812,2022-09-17 12:14
Iowa,2441,1681,1681,2022-09-17 12:14
Kansas,2156,1656,1656,2022-09-17 12:14
Kentucky,6140,3780,3780,2022-09-17 12:14
Louisiana,11882,8862,8862,2022-09-17 12:14
Maine,1411,1071,1071,2022-09-17 12:14
Marshall Islands,0,0,0,2022-09-17 12:14
Maryland,23299,14539,14539,2022-09-17 12:14
Massachusetts,24171,18311,18311,2022-09-17 12:14
Michigan,14318,8878,8878,2022-09-17 12:14
Minnesota,10658,6958,6958,2022-09-17 12:14
Mississippi,3161,1821,1821,2022-09-17 12:14
Missouri,9073,6053,6053,2022-09-17 12:14
Montana,778,478,478,2022-09-17 12:14
Nebraska,1641,1281,1281,2022-09-17 12:14
Nevada,8642,6062,6062,2022-09-17 12:14
New Hampshire,1467,1067,1067,2022-09-17 12:14
New Jersey,22269,16149,16149,2022-09-17 12:14
New Mexico,3436,2696,2496,2022-09-17 12:14
New York,43375,34695,34695,2022-09-17 12:14
New York - New York City,118444,97764,97764,2022-09-17 12:14
North Carolina,20288,15948,15948,2022-09-17 12:14
North Dakota,555,335,335,2022-09-17 12:14
Northern Mariana Islands,60,40,40,2022-09-17 12:14
Ohio,18713,12573,12573,2022-09-17 12:14
Oklahoma,5316,4196,4196,2022-09-17 12:14
Oregon,11498,9078,9078,2022-09-17 12:14
Palau,0,0,0,2022-09-17 12:14
Pennsylvania,16747,13171,13171,2022-09-17 12:14
Pennsylvania - Philadelphia,10638,6630,6630,2022-09-17 12:14
Puerto Rico,5367,2807,2807,2022-09-17 12:14
Rhode Island,4014,2154,2154,2022-09-17 12:14
South Carolina,6387,4287,4287,2022-09-17 12:14
South Dakota,1711,291,291,2022-09-17 12:14
Tennessee,17602,6762,6762,2022-09-17 12:14
Texas,50814,43314,37314,2022-09-17 12:14
Texas - Houston,27026,14146,14146,2022-09-17 12:14
Tribal Entities,93,0,0,2022-09-17 12:14
U.S. Virgin Islands,240,180,180,2022-09-17 12:14
Utah,6169,4449,4449,2022-09-17 12:14
Vermont,2006,846,846,2022-09-17 12:14
Virginia,22259,15339,15339,2022-09-17 12:14
Washington,23930,16210,16210,2022-09-17 12:14
West Virginia,2277,1057,1057,2022-09-17 12:14
Wisconsin,5614,3854,3854,2022-09-17 12:14
Wyoming,321,201,201,2022-09-17 12:14
